,ID,RawText,AspectTerms,AspectTermsPolarity,AspectTermsSpan,TextWithPOS,FixedTextWithPOS,Past,Future,Adj,Adv,Pronoun,Noun,Verb,Pos_lex,Neg_lex,FixedTexttWithPOSReplaced,RawTextWithLabelIOB
0,3121,But the staff was so horrible to us.,['staff'],['negative'],"[('8', '13')]","[('But', 'CC'), ('the', 'DT'), ('staff', 'NN'), ('was', 'VBD'), ('so', 'RB'), ('horrible', 'JJ'), ('to', 'TO'), ('us', 'PRP'), ('.', '.')]","[('But', 'CC'), ('the', 'DT'), ('staff', 'NN'), ('be', 'VBD'), ('so', 'RB'), ('horrible', 'JJ'), ('to', 'TO'), ('u', 'PRP'), ('.', '.')]",1,0,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0,0.5,"[('But', 'CC'), ('the', 'DT'), ('staff', 'NN'), ('be', 'VBD'), ('so', 'RB'), ('horrible', 'JJ'), ('to', 'TO'), ('u', 'PRP'), ('.', '.')]","[('But', 'O', None), ('the', 'O', None), ('staff', 'B', 'negative'), ('was', 'O', None), ('so', 'O', None), ('horrible', 'O', None), ('to', 'O', None), ('us', 'O', None)]"
1,2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",['food'],['positive'],"[('57', '61')]","[('To', 'TO'), ('be', 'VB'), ('completely', 'RB'), ('fair', 'JJ'), (',', ','), ('the', 'DT'), ('only', 'JJ'), ('redeeming', 'NN'), ('factor', 'NN'), ('was', 'VBD'), ('the', 'DT'), ('food', 'NN'), (',', ','), ('which', 'WDT'), ('was', 'VBD'), ('above', 'IN'), ('average', 'NN'), (',', ','), ('but', 'CC'), ('could', 'MD'), (""n't"", 'RB'), ('make', 'VB'), ('up', 'RP'), ('for', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('deficiencies', 'NNS'), ('of', 'IN'), ('Theodora', 'NNP'), ('.', '.')]","[('To', 'TO'), ('be', 'VB'), ('completely', 'RB'), ('fair', 'JJ'), (',', ','), ('the', 'DT'), ('only', 'JJ'), ('redeeming', 'NN'), ('factor', 'NN'), ('be', 'VBD'), ('the', 'DT'), ('food', 'NN'), (',', ','), ('which', 'WDT'), ('be', 'VBD'), ('above', 'IN'), ('average', 'NN'), (',', ','), ('but', 'CC'), ('could', 'MD'), (""n't"", 'RB'), ('make', 'VB'), ('up', 'RP'), ('for', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('deficiency', 'NNS'), ('of', 'IN'), ('Theodora', 'NNP'), ('.', '.')]",0.5,0.25,0.096774194,0.096774194,0,0.193548387,0.129032258,0.5,0.25,"[('To', 'TO'), ('be', 'VB'), ('completely', 'RB'), ('fair', 'JJ'), (',', ','), ('the', 'DT'), ('only', 'JJ'), ('redeeming', 'NN'), ('factor', 'NN'), ('be', 'VBD'), ('the', 'DT'), ('food', 'NN'), (',', ','), ('which', 'WDT'), ('be', 'VBD'), ('above', 'IN'), ('average', 'NN'), (',', ','), ('but', 'CC'), ('could', 'MD'), (""n't"", 'RB'), ('make', 'VB'), ('up', 'RP'), ('for', 'IN'), ('all', 'PDT'), ('the', 'DT'), ('other', 'JJ'), ('deficiency', 'NNS'), ('of', 'IN'), ('<PNOUN>', 'NNP'), ('.', '.')]","[('To', 'O', None), ('be', 'O', None), ('completely', 'O', None), ('fair', 'O', None), (',', 'O', None), ('the', 'O', None), ('only', 'O', None), ('redeeming', 'O', None), ('factor', 'O', None), ('was', 'O', None), ('the', 'O', None), ('food', 'B', 'positive'), (',', 'O', None), ('which', 'O', None), ('was', 'O', None), ('above', 'O', None), ('average', 'O', None), (',', 'O', None), ('but', 'O', None), ('could', 'O', None), (""n't"", 'O', None), ('make', 'O', None), ('up', 'O', None), ('for', 'O', None), ('all', 'O', None), ('the', 'O', None), ('other', 'O', None), ('deficiencies', 'O', None), ('of', 'O', None), ('Teodora', 'O', None)]"
2,1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['food', 'kitchen', 'menu']","['positive', 'positive', 'neutral']","[('4', '8'), ('55', '62'), ('141', '145')]","[('The', 'DT'), ('food', 'NN'), ('is', 'VBZ'), ('uniformly', 'JJ'), ('exceptional', 'JJ'), (',', ','), ('with', 'IN'), ('a', 'DT'), ('very', 'RB'), ('capable', 'JJ'), ('kitchen', 'NN'), ('which', 'WDT'), ('will', 'MD'), ('proudly', 'RB'), ('whip', 'VB'), ('up', 'RP'), ('whatever', 'WDT'), ('you', 'PRP'), ('feel', 'VBP'), ('like', 'IN'), ('eating', 'NN'), (',', ','), ('whether', 'IN'), ('it', 'PRP'), (""'s"", 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('menu', 'NN'), ('or', 'CC'), ('not', 'RB'), ('.', '.')]","[('The', 'DT'), ('food', 'NN'), ('be', 'VBZ'), ('uniformly', 'JJ'), ('exceptional', 'JJ'), (',', ','), ('with', 'IN'), ('a', 'DT'), ('very', 'RB'), ('capable', 'JJ'), ('kitchen', 'NN'), ('which', 'WDT'), ('will', 'MD'), ('proudly', 'RB'), ('whip', 'VB'), ('up', 'RP'), ('whatever', 'WDT'), ('you', 'PRP'), ('feel', 'VBP'), ('like', 'IN'), ('eating', 'NN'), (',', ','), ('whether', 'IN'), ('it', 'PRP'), (""'s"", 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('menu', 'NN'), ('or', 'CC'), ('not', 'RB'), ('.', '.')]",0,0.25,0.096774194,0.129032258,0.064516129,0.129032258,0.129032258,0.75,0,"[('The', 'DT'), ('food', 'NN'), ('be', 'VBZ'), ('uniformly', 'JJ'), ('exceptional', 'JJ'), (',', ','), ('with', 'IN'), ('a', 'DT'), ('very', 'RB'), ('capable', 'JJ'), ('kitchen', 'NN'), ('which', 'WDT'), ('will', 'MD'), ('proudly', 'RB'), ('whip', 'VB'), ('up', 'RP'), ('whatever', 'WDT'), ('you', 'PRP'), ('feel', 'VBP'), ('like', 'IN'), ('eating', 'NN'), (',', ','), ('whether', 'IN'), ('it', 'PRP'), (""'s"", 'VBZ'), ('on', 'IN'), ('the', 'DT'), ('menu', 'NN'), ('or', 'CC'), ('not', 'RB'), ('.', '.')]","[('The', 'O', None), ('food', 'B', 'positive'), ('is', 'O', None), ('uniformly', 'O', None), ('exceptional', 'O', None), (',', 'O', None), ('with', 'O', None), ('a', 'O', None), ('very', 'O', None), ('capable', 'O', None), ('kitchen', 'B', 'positive'), ('which', 'O', None), ('will', 'O', None), ('proudly', 'O', None), ('whip', 'O', None), ('up', 'O', None), ('whatever', 'O', None), ('you', 'O', None), ('feel', 'O', None), ('like', 'O', None), ('eating', 'O', None), (',', 'O', None), ('whether', 'O', None), ('it', 'O', None), (""'s"", 'O', None), ('on', 'O', None), ('the', 'O', None), ('menu', 'B', 'neutral'), ('or', 'O', None), ('not', 'O', None)]"
3,2534,Where Gabriela personaly greets you and recommends you what to eat.,[],[],[],"[('Where', 'WRB'), ('Gabriela', 'NNP'), ('personal', 'JJ'), ('greets', 'NNS'), ('you', 'PRP'), ('and', 'CC'), ('recommends', 'VB'), ('you', 'PRP'), ('what', 'WP'), ('to', 'TO'), ('eat', 'VB'), ('.', '.')]","[('Where', 'WRB'), ('Gabriela', 'NNP'), ('personal', 'JJ'), ('greets', 'NNS'), ('you', 'PRP'), ('and', 'CC'), ('recommend', 'VB'), ('you', 'PRP'), ('what', 'WP'), ('to', 'TO'), ('eat', 'VB'), ('.', '.')]",0,0,0.083333333,0,0.166666667,0.166666667,0.166666667,0.5,0,"[('Where', 'WRB'), ('<PNOUN>', 'NNP'), ('personal', 'JJ'), ('greets', 'NNS'), ('you', 'PRP'), ('and', 'CC'), ('recommend', 'VB'), ('you', 'PRP'), ('what', 'WP'), ('to', 'TO'), ('eat', 'VB'), ('.', '.')]","[('Where', 'O', None), ('Gabriela', 'O', None), ('personaly', 'O', None), ('greets', 'O', None), ('you', 'O', None), ('and', 'O', None), ('recommends', 'O', None), ('you', 'O', None), ('what', 'O', None), ('to', 'O', None), ('eat', 'O', None), ('.', 'O', None)]"
4,583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",[],[],[],"[('For', 'IN'), ('those', 'DT'), ('that', 'WDT'), ('go', 'VBP'), ('once', 'RB'), ('and', 'CC'), ('do', 'VBP'), (""n't"", 'RB'), ('enjoy', 'VB'), ('it', 'PRP'), (',', ','), ('all', 'DT'), ('I', 'PRP'), ('can', 'MD'), ('say', 'VB'), ('is', 'VBZ'), ('that', 'IN'), ('they', 'PRP'), ('just', 'RB'), ('do', 'VBP'), (""n't"", 'RB'), ('get', 'VB'), ('it', 'PRP'), ('.', '.')]","[('For', 'IN'), ('those', 'DT'), ('that', 'WDT'), ('go', 'VBP'), ('once', 'RB'), ('and', 'CC'), ('do', 'VBP'), (""n't"", 'RB'), ('enjoy', 'VB'), ('it', 'PRP'), (',', ','), ('all', 'DT'), ('I', 'PRP'), ('can', 'MD'), ('say', 'VB'), ('be', 'VBZ'), ('that', 'IN'), ('they', 'PRP'), ('just', 'RB'), ('do', 'VBP'), (""n't"", 'RB'), ('get', 'VB'), ('it', 'PRP'), ('.', '.')]",0,0.142857143,0,0.166666667,0.166666667,0,0.291666667,1,0,"[('For', 'IN'), ('those', 'DT'), ('that', 'WDT'), ('go', 'VBP'), ('once', 'RB'), ('and', 'CC'), ('do', 'VBP'), (""n't"", 'RB'), ('enjoy', 'VB'), ('it', 'PRP'), (',', ','), ('all', 'DT'), ('I', 'PRP'), ('can', 'MD'), ('say', 'VB'), ('be', 'VBZ'), ('that', 'IN'), ('they', 'PRP'), ('just', 'RB'), ('do', 'VBP'), (""n't"", 'RB'), ('get', 'VB'), ('it', 'PRP'), ('.', '.')]","[('For', 'O', None), ('those', 'O', None), ('that', 'O', None), ('go', 'O', None), ('once', 'O', None), ('and', 'O', None), ('do', 'O', None), (""n't"", 'O', None), ('enjoy', 'O', None), ('it', 'O', None), (',', 'O', None), ('all', 'O', None), ('I', 'O', None), ('can', 'O', None), ('say', 'O', None), ('is', 'O', None), ('that', 'O', None), ('they', 'O', None), ('just', 'O', None), ('do', 'O', None), (""n't"", 'O', None), ('get', 'O', None), ('it', 'O', None), ('.', 'O', None)]"
5,2846,"Not only was the food outstanding, but the little 'perks' were great.","['food', 'perks']","['positive', 'positive']","[('17', '21'), ('51', '56')]","[('Not', 'RB'), ('only', 'RB'), ('was', 'VBD'), ('the', 'DT'), ('food', 'NN'), ('outstanding', 'JJ'), (',', ','), ('but', 'CC'), ('the', 'DT'), ('little', 'JJ'), (""'parks"", 'NNS'), (""'"", 'POS'), ('were', 'VBD'), ('great', 'JJ'), ('.', '.')]","[('Not', 'RB'), ('only', 'RB'), ('be', 'VBD'), ('the', 'DT'), ('food', 'NN'), ('outstanding', 'JJ'), (',', ','), ('but', 'CC'), ('the', 'DT'), ('little', 'JJ'), (""'parks"", 'NNS'), (""'"", 'POS'), ('be', 'VBD'), ('great', 'JJ'), ('.', '.')]",1,0,0.2,0.133333333,0,0.133333333,0.133333333,0.5,0,"[('Not', 'RB'), ('only', 'RB'), ('be', 'VBD'), ('the', 'DT'), ('food', 'NN'), ('outstanding', 'JJ'), (',', ','), ('but', 'CC'), ('the', 'DT'), ('little', 'JJ'), (""'parks"", 'NNS'), (""'"", 'POS'), ('be', 'VBD'), ('great', 'JJ'), ('.', '.')]","[('Not', 'O', None), ('only', 'O', None), ('was', 'O', None), ('the', 'O', None), ('food', 'B', 'positive'), ('outstanding', 'O', None), (',', 'O', None), ('but', 'O', None), ('the', 'O', None), ('little', 'O', None), (""'perks"", 'B', 'positive'), (""'"", 'O', None), ('were', 'O', None), ('great', 'O', None)]"
6,1571,It is very overpriced and not very tasty.,[],[],[],"[('It', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('overpriced', 'JJ'), ('and', 'CC'), ('not', 'RB'), ('very', 'RB'), ('tasty', 'JJ'), ('.', '.')]","[('It', 'PRP'), ('be', 'VBZ'), ('very', 'RB'), ('overpriced', 'JJ'), ('and', 'CC'), ('not', 'RB'), ('very', 'RB'), ('tasty', 'JJ'), ('.', '.')]",0,0,0.222222222,0.333333333,0.111111111,0,0.111111111,0,0.333333333,"[('It', 'PRP'), ('be', 'VBZ'), ('very', 'RB'), ('overpriced', 'JJ'), ('and', 'CC'), ('not', 'RB'), ('very', 'RB'), ('tasty', 'JJ'), ('.', '.')]","[('It', 'O', None), ('is', 'O', None), ('very', 'O', None), ('overpriced', 'O', None), ('and', 'O', None), ('not', 'O', None), ('very', 'O', None), ('tasty', 'O', None), ('.', 'O', None)]"
7,1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"['orrechiete with sausage and chicken', 'waiters', 'meats', 'dish']","['positive', 'positive', 'neutral', 'neutral']","[('27', '62'), ('76', '83'), ('152', '157'), ('113', '117')]","[('Our', 'PRP$'), ('agreed', 'VBD'), ('favorite', 'NN'), ('is', 'VBZ'), ('the', 'DT'), ('orrechiete', 'JJ'), ('with', 'IN'), ('sausage', 'NN'), ('and', 'CC'), ('chicken', 'NN'), ('(', '('), ('usually', 'RB'), ('the', 'DT'), ('writers', 'NNS'), ('are', 'VBP'), ('kind', 'NN'), ('enough', 'JJ'), ('to', 'TO'), ('split', 'VB'), ('the', 'DT'), ('dish', 'NN'), ('in', 'IN'), ('half', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('get', 'VBP'), ('to', 'TO'), ('sample', 'VB'), ('both', 'DT'), ('meats', 'NNS'), (')', ')'), ('.', '.')]","[('Our', 'PRP$'), ('agree', 'VBD'), ('favorite', 'NN'), ('be', 'VBZ'), ('the', 'DT'), ('orrechiete', 'JJ'), ('with', 'IN'), ('sausage', 'NN'), ('and', 'CC'), ('chicken', 'NN'), ('(', '('), ('usually', 'RB'), ('the', 'DT'), ('writer', 'NNS'), ('be', 'VBP'), ('kind', 'NN'), ('enough', 'JJ'), ('to', 'TO'), ('split', 'VB'), ('the', 'DT'), ('dish', 'NN'), ('in', 'IN'), ('half', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('get', 'VBP'), ('to', 'TO'), ('sample', 'VB'), ('both', 'DT'), ('meat', 'NNS'), (')', ')'), ('.', '.')]",0.166666667,0,0.0625,0.03125,0.0625,0.25,0.1875,0.666666667,0.333333333,"[('Our', 'PRP$'), ('agree', 'VBD'), ('favorite', 'NN'), ('be', 'VBZ'), ('the', 'DT'), ('orrechiete', 'JJ'), ('with', 'IN'), ('sausage', 'NN'), ('and', 'CC'), ('chicken', 'NN'), ('(', '('), ('usually', 'RB'), ('the', 'DT'), ('writer', 'NNS'), ('be', 'VBP'), ('kind', 'NN'), ('enough', 'JJ'), ('to', 'TO'), ('split', 'VB'), ('the', 'DT'), ('dish', 'NN'), ('in', 'IN'), ('half', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('get', 'VBP'), ('to', 'TO'), ('sample', 'VB'), ('both', 'DT'), ('meat', 'NNS'), (')', ')'), ('.', '.')]","[('Our', 'O', None), ('agreed', 'O', None), ('favorite', 'O', None), ('is', 'O', None), ('the', 'O', None), ('orrechiete', 'B', 'positive'), ('with', 'I', 'positive'), ('sausage', 'I', 'positive'), ('and', 'I', 'positive'), ('chicken', 'I', 'positive'), ('(', 'O', None), ('usually', 'O', None), ('the', 'O', None), ('waiters', 'B', 'positive'), ('are', 'O', None), ('kind', 'O', None), ('enough', 'O', None), ('to', 'O', None), ('split', 'O', None), ('the', 'O', None), ('dish', 'O', None), ('in', 'O', None), ('half', 'O', None), ('so', 'O', None), ('you', 'O', None), ('get', 'O', None), ('to', 'O', None), ('sample', 'O', None), ('both', 'O', None), ('meats', 'B', 'neutral'), (')', 'O', None)]"
8,3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",['Bagels'],['positive'],"[('4', '10')]","[('The', 'DT'), ('Pages', 'NNS'), ('have', 'VBP'), ('an', 'DT'), ('outstanding', 'JJ'), ('taste', 'NN'), ('with', 'IN'), ('a', 'DT'), ('terrific', 'JJ'), ('texture', 'NN'), (',', ','), ('both', 'DT'), ('chew', 'VBP'), ('yet', 'RB'), ('not', 'RB'), ('dummy', 'VB'), ('.', '.')]","[('The', 'DT'), ('Pages', 'NNS'), ('have', 'VBP'), ('an', 'DT'), ('outstanding', 'JJ'), ('taste', 'NN'), ('with', 'IN'), ('a', 'DT'), ('terrific', 'JJ'), ('texture', 'NN'), (',', ','), ('both', 'DT'), ('chew', 'VBP'), ('yet', 'RB'), ('not', 'RB'), ('dummy', 'VB'), ('.', '.')]",0,0,0.117647059,0.117647059,0,0.176470588,0.176470588,0.666666667,0,"[('The', 'DT'), ('Pages', 'NNS'), ('have', 'VBP'), ('an', 'DT'), ('outstanding', 'JJ'), ('taste', 'NN'), ('with', 'IN'), ('a', 'DT'), ('terrific', 'JJ'), ('texture', 'NN'), (',', ','), ('both', 'DT'), ('chew', 'VBP'), ('yet', 'RB'), ('not', 'RB'), ('dummy', 'VB'), ('.', '.')]","[('The', 'O', None), ('Bagels', 'B', 'positive'), ('have', 'O', None), ('an', 'O', None), ('outstanding', 'O', None), ('taste', 'O', None), ('with', 'O', None), ('a', 'O', None), ('terrific', 'O', None), ('texture', 'O', None), (',', 'O', None), ('both', 'O', None), ('chewy', 'O', None), ('yet', 'O', None), ('not', 'O', None), ('gummy', 'O', None)]"
9,2391,Nevertheless the food itself is pretty good.,['food'],['positive'],"[('17', '21')]","[('Nevertheless', 'RB'), ('the', 'DT'), ('food', 'NN'), ('itself', 'PRP'), ('is', 'VBZ'), ('pretty', 'RB'), ('good', 'JJ'), ('.', '.')]","[('Nevertheless', 'RB'), ('the', 'DT'), ('food', 'NN'), ('itself', 'PRP'), ('be', 'VBZ'), ('pretty', 'RB'), ('good', 'JJ'), ('.', '.')]",0,0,0.125,0.25,0.125,0.125,0.125,1,0,"[('Nevertheless', 'RB'), ('the', 'DT'), ('food', 'NN'), ('itself', 'PRP'), ('be', 'VBZ'), ('pretty', 'RB'), ('good', 'JJ'), ('.', '.')]","[('Nevertheless', 'O', None), ('the', 'O', None), ('food', 'B', 'positive'), ('itself', 'O', None), ('is', 'O', None), ('pretty', 'O', None), ('good', 'O', None)]"
